Company,TypeName,Inches,OpSys,Weight,Price,width,height,CpuClockSpeed,Memory_space,Gpu_brand,Gpu_model,Cpu_brand,Cpu_series,Cpu_model_number
Dell,Notebook,17.3,Windows 10,2.8,69210.72,1920,1080,1.8,256.0,AMD,530.0,Intel,Core i7,8550U
Dell,Ultrabook,14.0,Windows 10,1.7,46833.12,1920,1080,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
Lenovo,Notebook,14.0,No OS,1.7,31914.72,1920,1080,2.7,256.0,Intel,620.0,Intel,Core i3,7130U
Asus,Notebook,14.0,Windows 10,1.4,50136.48,1920,1080,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
HP,Notebook,15.6,Windows 10,1.86,36763.2,1920,1080,2.5,256.0,Intel,620.0,Intel,Core i5,7200U
Asus,Ultrabook,15.6,Windows 10,1.8,105654.24,1920,1080,2.8,512.0,Nvidia,650.8931297709923,Intel,Core i7,7700H
HP,Notebook,15.6,Windows 10,1.86,23373.4032,1366,768,2.0,500.0,AMD,520.0,Intel,Core i3,6006U
HP,Notebook,14.0,Windows 10,1.44,12201.12,1366,768,1.6,32.0,Intel,400.0,Intel,Celeron,3060
Lenovo,Notebook,15.6,Windows 10,1.9,29250.72,1920,1080,2.5,1.0,Intel,620.0,Intel,Core i5,7200U
Asus,Gaming,17.3,Linux,3.0,50562.72,1920,1080,2.8,1.0,Nvidia,650.8931297709923,Intel,Core i7,7700H
Microsoft,Ultrabook,13.5,Windows 10 S,1.252,58021.92,2256,1504,2.5,128.0,Intel,620.0,Intel,Core i5,7200U
Dell,Ultrabook,13.3,Windows 10,1.4,50882.4,1920,1080,1.8,256.0,AMD,530.0,Intel,Core i7,8550U
Dell,Notebook,15.6,Windows 10,2.2,46353.6,1920,1080,1.8,256.0,AMD,530.0,Intel,Core i7,8550U
MSI,Gaming,17.3,Windows 10,2.7,58341.6,1920,1080,2.5,128.0,Nvidia,1050.0,Intel,Core i5,7300H
Acer,Notebook,14.0,Windows 10,2.1,20725.92,1366,768,2.0,1.0,Intel,520.0,Intel,Core i3,6006U
Asus,Gaming,15.6,Windows 10,2.2,50562.72,1920,1080,2.8,1.0,Nvidia,1050.0,Intel,Core i7,7700H
Lenovo,Notebook,15.6,No OS,2.2,27652.32,1920,1080,2.5,2.0,Intel,620.0,Intel,Core i5,7200U
Dell,Notebook,15.6,Windows 10,2.02,45554.4,1920,1080,1.8,128.0,Intel,620.0,Intel,Core i7,8550U
Acer,Notebook,15.6,Windows 10,2.2,28238.4,1920,1080,2.7,1.0,Nvidia,130.0,Intel,Core i3,7130U
HP,Notebook,17.3,Windows 10,2.5,52054.56,1920,1080,1.6,128.0,Nvidia,650.8931297709923,Intel,Core i5,8250U
Dell,Ultrabook,15.6,Windows 10,1.88,58403.4048,1920,1080,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
Apple,Ultrabook,12.0,macOS,0.92,80452.8,2304,1440,1.3,512.0,Intel,615.0,Intel,Core i5,7200U
HP,Notebook,14.0,Windows 10,1.63,45820.8,1920,1080,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
Lenovo,Notebook,15.6,Windows 10,2.2,21258.72,1920,1080,2.5,128.0,AMD,650.8931297709923,AMD,A6-Series,9220
Acer,Notebook,15.6,Windows 10,2.1,21045.6,1366,768,3.0,1.0,AMD,5.0,AMD,A9-Series,9420
Dell,Gaming,15.6,Windows 10,2.65,71874.72,1920,1080,2.8,128.0,Nvidia,650.8931297709923,Intel,Core i7,7700H
HP,Ultrabook,15.6,Windows 10,1.83,37242.72,1920,1080,1.8,256.0,Nvidia,650.8931297709923,Intel,Core i7,8550U
HP,Notebook,15.6,Windows 10,1.96,31914.1872,1920,1080,2.5,256.0,Intel,620.0,Intel,Core i5,7200U
Asus,Gaming,15.6,Windows 10,2.2,77202.72,1920,1080,2.8,128.0,Nvidia,1060.0,Intel,Core i7,7700H
Dell,Ultrabook,13.3,Windows 10,1.21,87858.72,1920,1080,1.8,256.0,Intel,620.0,Intel,Core i7,8550U
Asus,Gaming,15.6,Windows 10,2.45,37242.72,1920,1080,3.0,1.0,AMD,560.0,AMD,FX 9830,9830P
Acer,Notebook,15.6,Windows 10,2.2,36709.92,1920,1080,1.8,1.0,Nvidia,150.0,Intel,Core i7,8550U
HP,Notebook,13.3,Windows 10,1.49,63776.16,1920,1080,1.8,512.0,Intel,620.0,Intel,Core i7,8550U
Dell,Gaming,15.6,Windows 10,2.65,63669.6,1920,1080,2.5,256.0,Nvidia,1060.0,Intel,Core i5,7300H
Asus,Ultrabook,14.0,Windows 10,1.25,55890.72,1920,1080,2.7,256.0,Intel,620.0,Intel,Core i7,7500U
Acer,2 in 1 Convertible,13.3,Windows 10,1.5,45128.16,1920,1080,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
Dell,Notebook,15.6,Linux,2.2,31962.672,1920,1080,2.7,1.0,AMD,430.0,Intel,Core i7,7500U
Dell,Notebook,15.6,Linux,2.2,25840.8,1920,1080,2.0,256.0,AMD,430.0,Intel,Core i3,6006U
Asus,Notebook,15.6,Windows 10,2.0,30742.56,1920,1080,2.4,256.0,Nvidia,650.8931297709923,Intel,Core i3,7100U
HP,Gaming,15.6,Windows 10,2.62,66546.72,1920,1080,2.8,128.0,Nvidia,1050.0,Intel,Core i7,7700H
HP,Notebook,15.6,Windows 10,1.91,38308.32,1920,1080,2.7,256.0,AMD,530.0,Intel,Core i7,7500U
HP,Notebook,15.6,Windows 10,2.1,18594.72,1920,1080,1.5,500.0,AMD,2.0,AMD,unknown,9000
Dell,Notebook,15.6,Linux,2.2,34472.16,1920,1080,1.6,1.0,AMD,520.0,Intel,Core i5,8250U
HP,Ultrabook,13.3,Windows 10,1.38,59620.32,1920,1080,2.7,256.0,Nvidia,150.0,Intel,Core i7,7500U
Microsoft,Ultrabook,13.5,Windows 10 S,1.252,71395.2,2256,1504,2.5,256.0,Intel,620.0,Intel,Core i5,7200U
HP,Notebook,14.0,Windows 10,1.58,35111.52,1920,1080,2.5,256.0,Nvidia,650.8931297709923,Intel,Core i5,7200U
Lenovo,Notebook,15.6,Windows 10,1.85,22105.872,1920,1080,2.0,1.0,Intel,520.0,Intel,Core i3,6006U
Asus,Ultrabook,14.0,Windows 10,1.3,63563.04,1920,1080,2.7,256.0,Nvidia,650.8931297709923,Intel,Core i7,7500U
MSI,Gaming,15.6,Windows 10,2.2,69210.72,1920,1080,2.8,256.0,Nvidia,650.8931297709923,Intel,Core i7,7700H
Lenovo,Notebook,14.0,Windows 10,1.58,78854.4,1920,1080,2.7,256.0,Intel,620.0,Intel,Core i7,7500U
Asus,Ultrabook,15.6,Windows 10,1.5,67239.36,1920,1080,1.8,256.0,Nvidia,150.0,Intel,Core i7,8550U
Dell,Ultrabook,13.3,Windows 10,1.23,73473.12,3200,1800,2.4,256.0,Intel,640.0,Intel,Core i7,7560U
Lenovo,2 in 1 Convertible,13.3,Windows 10,1.37,74538.72,1920,1080,2.5,256.0,Intel,620.0,Intel,Core i5,7200U
HP,Notebook,14.0,Windows 10,1.63,38468.16,1366,768,1.6,500.0,Intel,620.0,Intel,Core i5,8250U
Dell,Ultrabook,13.3,Windows 10,1.21,86793.12,1920,1080,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
HP,Notebook,14.0,Windows 10,1.63,57755.52,1920,1080,1.8,512.0,Intel,620.0,Intel,Core i7,8550U
Dell,Notebook,15.6,Windows 10,2.16,60223.9824,1920,1080,1.8,256.0,Nvidia,650.8931297709923,Intel,Core i7,8550U
Asus,Notebook,17.3,Windows 10,2.0,30049.92,1920,1080,2.0,1.0,Nvidia,650.8931297709923,Intel,Core i3,6006U
Asus,Notebook,15.6,Windows 10,1.7,59567.04,1920,1080,1.8,256.0,Nvidia,650.8931297709923,Intel,Core i7,8550U
Acer,Notebook,15.6,Windows 10,2.1,25521.12,1920,1080,2.4,1.0,Intel,620.0,Intel,Core i3,7100U
MSI,Gaming,15.6,Windows 10,1.8,119427.12,1920,1080,2.8,256.0,Nvidia,1070.0,Intel,Core i7,7700H
Lenovo,Notebook,15.6,No OS,2.2,33513.12,1920,1080,2.5,256.0,Nvidia,650.8931297709923,Intel,Core i5,7200U
HP,Notebook,17.3,Windows 10,2.5,67718.88,1920,1080,1.8,512.0,Nvidia,650.8931297709923,Intel,Core i7,8550U
Acer,Notebook,15.6,Windows 10,2.1,24029.28,1366,768,3.0,256.0,AMD,5.0,AMD,A9-Series,9420
HP,Notebook,14.0,Windows 10,1.63,43263.36,1920,1080,1.6,1.0,Intel,620.0,Intel,Core i5,8250U
Asus,Notebook,14.0,Windows 10 S,1.65,14811.3072,1366,768,1.5,64.0,AMD,2.0,AMD,unknown,6110
Dell,Notebook,17.3,Windows 10,2.8,74378.88,1920,1080,1.8,256.0,AMD,530.0,Intel,Core i7,8550U
HP,Notebook,17.3,Windows 10,2.5,49443.84,1920,1080,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
Dell,Notebook,15.6,Windows 10,2.36,34045.3872,1366,768,2.5,1.0,AMD,445.0,Intel,Core i5,7200U
Dell,Notebook,15.6,Windows 10,2.2,23922.72,1920,1080,2.0,1.0,AMD,430.0,Intel,Core i3,6006U
Acer,Ultrabook,14.0,Windows 10,1.6,47099.52,1920,1080,1.8,256.0,Intel,620.0,Intel,Core i7,8550U
Acer,Notebook,15.6,Windows 10,7.2,30476.16,1920,1080,2.7,256.0,Nvidia,130.0,Intel,Core i3,7130U
HP,Notebook,15.6,Windows 10,2.05,31861.44,1366,768,2.7,1.0,Intel,620.0,Intel,Core i7,7500U
HP,Notebook,14.0,Windows 10,1.63,52640.64,1920,1080,1.8,256.0,Intel,620.0,Intel,Core i7,8550U
Lenovo,Notebook,15.6,No OS,1.9,13445.7408,1366,768,1.1,1.0,Intel,500.0,Intel,Celeron,3350
Asus,Gaming,17.3,Windows 10,3.0,49976.64,1920,1080,2.5,128.0,Nvidia,1050.0,Intel,Core i5,7300H
Lenovo,Notebook,15.6,No OS,2.2,26586.72,1920,1080,2.5,1.0,Nvidia,650.8931297709923,Intel,Core i5,7200U
HP,Notebook,13.3,Windows 10,1.32,37242.72,1920,1080,2.5,256.0,Intel,620.0,Intel,Core i5,7200U
Acer,Notebook,17.3,Windows 10,3.0,34898.4,1920,1080,2.7,1.0,Nvidia,130.0,Intel,Core i3,7130U
Lenovo,Notebook,14.0,Windows 10,1.75,59461.5456,1920,1080,1.6,256.0,AMD,550.0,Intel,Core i5,8250U
Lenovo,Gaming,15.6,No OS,2.4,46300.32,1920,1080,2.8,256.0,Nvidia,650.8931297709923,Intel,Core i7,7700H
Toshiba,Notebook,15.6,Windows 10,2.1,32074.56,1366,768,2.3,500.0,Intel,520.0,Intel,Core i5,6200U
HP,Notebook,15.6,Windows 10,1.86,19660.32,1366,768,2.5,256.0,AMD,650.8931297709923,AMD,A6-Series,9220
Asus,Ultrabook,14.0,Windows 10,1.25,58554.72,1920,1080,1.8,256.0,Intel,620.0,Intel,Core i7,8550U
HP,Ultrabook,12.5,Windows 10,0.97,107305.92,3840,2160,1.2,512.0,Intel,515.0,Intel,Core M 6,7200U
Asus,Notebook,15.6,Windows 10,2.0,18328.32,1920,1080,1.1,1.0,Intel,500.0,Intel,Celeron,3350
Acer,Notebook,15.6,Windows 10,2.1,23816.16,1366,768,2.0,1.0,Intel,520.0,Intel,Core i3,6006U
Dell,Gaming,15.6,Windows 10,2.56,66560.5728,1920,1080,2.8,512.0,Nvidia,1050.0,Intel,Core i7,7700H
Dell,Gaming,15.6,Windows 10,2.62,47898.72,1920,1080,2.8,1.0,Nvidia,1050.0,Intel,Core i7,7700H
Lenovo,Notebook,15.6,Windows 10,1.9,26533.44,1366,768,2.5,128.0,Intel,620.0,Intel,Core i5,7200U
MSI,Gaming,17.3,Windows 10,2.8,100699.2,1920,1080,2.8,256.0,Nvidia,1060.0,Intel,Core i7,7700H
HP,Ultrabook,14.0,Windows 10,1.48,57648.96,1920,1080,2.7,256.0,Intel,620.0,Intel,Core i5,7500U
HP,Notebook,15.6,Windows 10,1.91,32980.32,1920,1080,1.6,256.0,AMD,520.0,Intel,Core i5,8250U
Lenovo,2 in 1 Convertible,14.0,Windows 10,1.74,33513.12,1920,1080,2.4,256.0,Intel,620.0,Intel,Core i3,7100U
Asus,2 in 1 Convertible,13.3,Windows 10,1.1,70063.2,1920,1080,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
Dell,2 in 1 Convertible,15.6,Windows 10,1.56,55890.72,1920,1080,1.8,256.0,Intel,620.0,Intel,Core i7,8550U
Toshiba,Notebook,15.6,Windows 10,2.1,23816.16,1366,768,2.2,500.0,Intel,520.0,Intel,Core i3,6006U
Asus,Notebook,15.6,Windows 10,2.03,21471.84,1366,768,3.0,1.0,AMD,420.0,AMD,A9-Series,9420
Acer,Notebook,17.3,Windows 10,3.0,42890.4,1920,1080,1.6,256.0,Nvidia,150.0,Intel,Core i5,8250U
Dell,Notebook,15.6,Windows 10,2.13,38787.84,1920,1080,1.6,256.0,AMD,520.0,Intel,Core i5,8250U
Lenovo,Gaming,15.6,Windows 10,2.5,57489.12,1920,1080,2.8,256.0,Nvidia,650.8931297709923,Intel,Core i7,7700H
Acer,Notebook,15.6,Windows 10,2.1,18541.44,1366,768,1.1,1.0,Intel,500.0,Intel,Celeron,3350
MSI,Gaming,15.6,Windows 10,2.4,95850.72,1920,1080,2.8,256.0,Nvidia,1060.0,Intel,Core i7,7700H
Acer,Notebook,15.6,Windows 10,2.1,19367.8128,1366,768,1.1,1.0,Intel,505.0,Intel,Pentium,4200
Dell,Gaming,15.6,Windows 10,2.56,56502.9072,1920,1080,2.8,128.0,Nvidia,1050.0,Intel,Core i7,7700H
Acer,Notebook,17.3,Windows 10,3.0,45501.12,1920,1080,1.6,256.0,Nvidia,150.0,Intel,Core i5,8250U
HP,Notebook,13.3,Windows 10,1.49,40173.12,1920,1080,1.6,500.0,Intel,620.0,Intel,Core i5,8250U
Huawei,Ultrabook,13.0,Windows 10,1.05,71874.72,2160,1440,2.5,256.0,Intel,620.0,Intel,Core i5,7200U
HP,Notebook,17.3,Windows 10,2.71,37242.72,1920,1080,2.5,2.0,AMD,520.0,Intel,Core i5,7200U
Lenovo,Notebook,15.6,No OS,2.2,16463.52,1366,768,2.9,500.0,AMD,650.8931297709923,AMD,A6-Series,9220
Toshiba,Notebook,15.6,Windows 10,5.4,26053.92,1366,768,2.4,500.0,Intel,620.0,Intel,Core i3,7100U
HP,Notebook,17.3,Windows 10,2.5,49177.44,1920,1080,1.6,256.0,Nvidia,650.8931297709923,Intel,Core i5,8250U
Dell,Notebook,15.6,Windows 10,2.3,24455.52,1366,768,2.4,1.0,Intel,620.0,Intel,Core i3,7100U
Acer,Notebook,15.6,Windows 10,2.1,23922.72,1366,768,2.0,128.0,Intel,520.0,Intel,Core i3,6006U
MSI,Gaming,18.4,Windows 10,4.4,149130.72,1920,1080,2.9,512.0,Nvidia,650.8931297709923,Intel,Core i7,6920H
Lenovo,Notebook,15.6,Windows 10,1.9,43316.64,1920,1080,2.5,128.0,AMD,70.0,Intel,Core i5,7200U
HP,2 in 1 Convertible,13.3,Windows 10,1.29,79866.72,3840,2160,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
Dell,Notebook,15.6,Linux,2.02,55890.72,1920,1080,1.8,256.0,AMD,530.0,Intel,Core i7,8550U
Dell,Ultrabook,13.3,Windows 10,1.23,74538.72,1920,1080,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
Lenovo,2 in 1 Convertible,13.9,Windows 10,1.4,98514.72,3840,2160,1.8,512.0,Intel,620.0,Intel,Core i7,8550U
Toshiba,Notebook,15.6,Windows 10,2.0,42251.04,1366,768,2.5,128.0,Intel,620.0,Intel,Core i5,7200U
Xiaomi,Notebook,15.6,No OS,1.95,63882.72,1920,1080,1.6,256.0,Nvidia,150.0,Intel,Core i5,8250U
Dell,Notebook,17.3,Windows 10,2.77,82530.72,1920,1080,1.8,512.0,Nvidia,650.8931297709923,Intel,Core i7,8550U
Dell,Notebook,15.6,Windows 10,2.06,127712.16,3840,2160,2.8,512.0,Nvidia,1050.0,Intel,Core i7,7700H
Lenovo,Gaming,15.6,No OS,2.4,41505.12,1920,1080,2.5,256.0,Nvidia,1050.0,Intel,Core i5,7300H
Acer,Ultrabook,13.3,Windows 10,1.12,52693.92,1920,1080,1.2,256.0,Intel,615.0,Intel,Core i5,7200U
Dell,Notebook,17.3,Windows 10,2.8,57808.8,1920,1080,1.8,128.0,AMD,530.0,Intel,Core i7,8550U
Vero,Notebook,14.0,Windows 10,1.3,13852.8,1920,1080,1.1,32.0,Intel,500.0,Intel,Celeron,3350
Xiaomi,Ultrabook,13.3,No OS,1.3,53274.672,1920,1080,2.5,256.0,Nvidia,150.0,Intel,Core i5,7200U
Lenovo,Notebook,17.3,No OS,2.8,37189.44,1600,900,1.6,256.0,Nvidia,150.0,Intel,Core i5,8250U
Dell,2 in 1 Convertible,13.3,Windows 10,1.62,44701.92,1920,1080,1.8,1.0,Intel,620.0,Intel,Core i7,8550U
HP,Notebook,17.3,Windows 10,2.5,48697.92,1920,1080,1.6,1.0,Nvidia,650.8931297709923,Intel,Core i5,8250U
Razer,Gaming,17.3,Windows 10,3.49,324954.72,3840,2160,2.9,1.0,Nvidia,1080.0,Intel,Core i7,7820H
HP,Notebook,13.3,Windows 10,1.49,51095.52,1920,1080,1.6,512.0,Intel,620.0,Intel,Core i5,8250U
HP,Gaming,17.3,Windows 10,3.35,73473.12,1920,1080,2.8,256.0,Nvidia,1050.0,Intel,Core i7,7700H
HP,Notebook,17.3,Windows 10,2.5,55677.6,1920,1080,1.8,256.0,Nvidia,650.8931297709923,Intel,Core i7,8550U
Dell,Gaming,15.6,Windows 10,2.65,98301.6,3840,2160,2.8,512.0,Nvidia,1060.0,Intel,Core i7,7700H
Lenovo,Notebook,15.6,Windows 10,2.1,26267.04,1366,768,2.3,128.0,Intel,520.0,Intel,Core i5,6200U
Acer,Notebook,15.6,Windows 10,2.23,39533.76,1920,1080,2.7,1.0,Nvidia,650.8931297709923,Intel,Core i7,7500U
Lenovo,Gaming,15.6,Windows 10,3.2,93186.72,1920,1080,2.8,512.0,Nvidia,1060.0,Intel,Core i7,7700H
Dell,Workstation,15.6,Windows 10,2.8,162770.4,3840,2160,3.0,256.0,Nvidia,1200.0,Intel,unknown,1505M
Lenovo,Gaming,15.6,No OS,2.4,74485.44,1920,1080,2.8,512.0,Nvidia,1060.0,Intel,Core i7,7700H
Dell,Notebook,15.6,Windows 10,2.3,23389.92,1366,768,2.4,1.0,Intel,620.0,Intel,Core i3,7100U
Dell,Ultrabook,13.3,Windows 10,1.21,103842.72,3840,2160,1.8,256.0,Intel,620.0,Intel,Core i7,8550U
Dell,Ultrabook,13.3,Windows 10,2.077618081761006,77202.72,1920,1080,1.8,256.0,Intel,620.0,Intel,Core i7,8550U
Acer,Notebook,15.6,Linux,2.4,41505.12,1920,1080,2.8,1.0,Nvidia,1050.0,Intel,Core i7,7700H
Asus,Gaming,17.3,Windows 10,2.9,74964.96,1920,1080,2.8,256.0,Nvidia,1050.0,Intel,Core i7,7700H
HP,Notebook,15.6,No OS,2.1,18594.72,1920,1080,2.0,500.0,Intel,520.0,Intel,Core i3,6006U
Lenovo,Notebook,15.6,No OS,2.2,29250.72,1920,1080,2.5,256.0,Intel,620.0,Intel,Core i5,7200U
Huawei,Ultrabook,13.0,Windows 10,1.05,79866.72,2160,1440,2.7,512.0,Intel,620.0,Intel,Core i7,7500U
Dell,Ultrabook,13.3,Windows 10,1.4,49650.5664,1920,1080,1.8,256.0,AMD,530.0,Intel,Core i7,8550U
Lenovo,Notebook,17.3,No OS,2.8,31381.92,1600,900,2.5,1.0,Nvidia,650.8931297709923,Intel,Core i5,7200U
HP,Notebook,14.0,Windows 10,1.63,54931.68,1920,1080,1.8,256.0,Nvidia,650.8931297709923,Intel,Core i7,8550U
Dell,Ultrabook,14.0,Windows 10,1.6,61218.72,1920,1080,1.6,256.0,Intel,620.0,Intel,Core i5,8250U
